series,gallery_number,set_code,set_number,name_de,name_en,image_url_de,image_url_en
8,1,SCR,107,Briduradon,Archaludon,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_1-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_1-2x.png
8,2,DRI,139,Peppers Mastifioso-ex,Arven’s Mabosstiff ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_2-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_2-2x.png
8,3,PRE,4,Knospi,Budew,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_3-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_3-2x.png
8,4,MEG,28,Liberlo,Cinderace,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_4-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_4-2x.png
8,5,BLK,49,Meistagrif,Conkeldurr,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_5-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_5-2x.png
8,6,DRI,103,Cynthias Knarksel,Cynthia’s Gabite,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_6-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_6-2x.png
8,7,DRI,104,Cynthias Knakrack-ex,Cynthia’s Garchomp ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_7-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_7-2x.png
8,8,DRI,8,Cynthias Roserade,Cynthia’s Roserade,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_8-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_8-2x.png
8,9,BLK,31,Zapplalek,Eelektrik,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_9-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_9-2x.png
8,10,WHT,13,Flambirex,Emboar,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_10-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_10-2x.png
