id_expansion,expansion_code,name,release_date,code_source,n_singles
6205,,CS4bC: Nine Colors Gathering - Origin,2024-07-23,,177
6257,,CS5aC: Brave Stars - Charm,2024-07-23,,176
6287,,Black & White ID/TH,2025-08-28,,176
5927,,Generations Start Decks: Pikachu ex & Snorlax ex,2024-10-25,,175
1687,BKP,BREAKpoint,2016-01-04,tcg,174
6130,,Black Bolt JP,2025-05-05,,174
6131,,White Flare JP,2025-05-05,,174
6135,WHT,White Flare,2025-05-07,tcg,173
6134,BLK,Black Bolt,2025-05-07,tcg,172
6250,,CS6bC: Azure Shadow - Pursuit,2024-09-10,,172
1536,E1,Expedition Base Set,0000-00-00,tcg,169
6249,,CS6aC: Azure Shadow - Roar,2024-09-10,,169
1582,XY,XY,0000-00-00,tcg,168
6193,,CSV1C: Eternal Birth,2025-01-03,,167
1564,SV,Supreme Victors,0000-00-00,tcg,166
6110,,CSV3C: Fearless Terastal,2025-04-16,,165
6169,,CSV4C: Bonus Round,2025-06-11,,165
6237,,CSV5C: Dark Crystal Blaze,2025-07-30,,164
6121,,CSV2C: Miracle Journey,2025-03-07,,163
6362,,CSV6C: True Mystery,2025-10-28,,163
6397,,CS5DC: Brave Stars V Starter Deck,2025-11-21,,163
1577,BCR,Boundaries Crossed,0000-00-00,tcg,162
1706,FCO,Fates Collide,2016-03-22,tcg,162
6198,,,2025-07-17,,162
6197,,,2025-07-17,,161
1566,HS,HeartGold & SoulSilver,0000-00-00,tcg,158
5021,,Base Expansion Pack,2022-03-24,,157
4341,,,2021-06-23,,154
1560,LA,Legends Awakened,0000-00-00,tcg,153
6222,,,2025-07-24,,152
6223,,,2025-07-26,,152
1521,PHF,Phantom Forces,0000-00-00,tcg,151
4168,,Pokémon Card VS Grass/Lightning,2021-03-23,,151
6543,,CSVH4C: Happy Set Decidueye & Melmetal & Koraidon & Miraidon Box Set,2026-03-31,,151
1843,CIN,Crimson Invasion,2017-08-25,tcg,150
6232,MEP,First Partner Illustration,2025-09-25,tcg,149
1548,UF,EX Unseen Forces,0000-00-00,tcg,147
1581,LTR,Legendary Treasures,0000-00-00,tcg,147
6672,,,2026-07-27,,146
1555,DP,Diamond & Pearl,0000-00-00,tcg,145
1571,BLW,Black & White,0000-00-00,tcg,144
1578,PLS,Plasma Storm,0000-00-00,tcg,144
1693,GEN,Generations,2016-02-02,tcg,143
1716,STS,Steam Siege,2016-05-04,tcg,143
6230,,Pokémon Card Gym Promo MEGA Vol. 1,2025-07-25,,143
6279,,CS2aC: Vivid Portrayals - Obsidian,2024-07-24,,143
6281,,CS2bC: Vivid Portrayals - Indigo,2024-07-24,,143
5409,,Ruler of the Black Flame,2023-06-22,,141
6168,,CSVL1C: Adventure Special Pack,2025-06-11,,141
6634,,CSVH5C: Happy Set Mewtwo & Dragonite & Camerupt & Sinistcha Box Set,2026-07-02,,141
4074,,Premium Champion Pack,2021-03-18,,140
5890,,"Battle Academy 2024: Pikachu, Armarouge & Darkrai Coin",2024-04-05,,140
6111,,CBB2C: Gem Pack Vol. 2,2025-04-16,,140
5362,,Grass Decidueye ex Start Deck,2023-05-15,,139
6199,,Battle Academy 2022,2022-02-18,,139
