meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
Meta Live;;Crustle;Mega Lopunny ex;PFL 84;1;1;1;20;5,0;PFL;;84;Double Rare;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_084_R_EN_LG.png;No
Meta Live;;Crustle;Dawn;PFL 87;2;2;1;20;5,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No
Meta Live;;Crustle;Kofu;SCR 138;2;2;1;20;5,0;SCR;;138;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_138_R_EN_LG.png;No
Meta Live;;Crustle;Hero's Cape;TEF 152;1;1;1;20;5,0;TEF;;152;Ultra Rare;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_152_R_EN_LG.png;Yes
Meta Live;;Dragapult;Wondrous Patch;PFL 94;1;1;1;20;5,0;PFL;;94;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_094_R_EN_LG.png;No
Meta Live;;Dragapult;Battle Cage;PFL 85;1;1;1;20;5,0;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png;Yes
Meta Live;;Dragapult;Lana's Aid;TWM 155;1;1;1;20;5,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No
Meta Live;;Hop'S Zacian;Energy Search;SVI 172;1;1;1;20;5,0;SVI;;172;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_172_R_EN_LG.png;No
Meta Live;;Hop'S Zacian;Dawn;PFL 87;2;2;1;20;5,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No
Meta Live;;Hop'S Zacian;Technical Machine: Evolution;PAR 178;1;1;1;20;5,0;PAR;;178;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_178_R_EN_LG.png;No
Meta Live;;Iron Hands Magneton;Lillie's Determination;ASC 192;4;4;1;19;5,26;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;Yes
Meta Live;;Iron Hands Magneton;Air Balloon;ASC 181;1;1;1;19;5,26;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;Yes
