period;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta;tournament_id;tournament_date;date;total_decks_in_archetype_in_period
2026-W22;Dragapult Blaziken;Team Rocket's Watchtower;ASC 210;3;2;2;1,5;0,6;5;40,0;ASC;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Risky Ruins;MEG 127;2;1;2;1,0;0,4;5;40,0;MEG;127;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_127_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Chi-Yu;TWM 39;1;1;1;1,0;0,2;5;20,0;TWM;39;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_039_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Shaymin;DRI 10;1;1;1;1,0;0,2;5;20,0;DRI;10;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Lillie's Clefairy ex;JTG 56;1;1;1;1,0;0,2;5;20,0;JTG;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult;Dreepy;TWM 128;12;4;3;4,0;4,0;3;100,0;TWM;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Drakloak;TWM 129;12;4;3;4,0;4,0;3;100,0;TWM;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Dragapult ex;TWM 130;9;3;3;3,0;3,0;3;100,0;TWM;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Munkidori;TWM 95;6;2;3;2,0;2,0;3;100,0;TWM;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Dunsparce;JTG 120;1;1;1;1,0;0,33;3;33,33;JTG;120;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_120_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Dudunsparce;TEF 129;1;1;1;1,0;0,33;3;33,33;TEF;129;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_129_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Budew;ASC 16;4;2;3;1,33;1,33;3;100,0;ASC;16;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Moltres;PFL 14;3;1;3;1,0;1,0;3;100,0;PFL;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Yveltal;MEG 88;3;1;3;1,0;1,0;3;100,0;MEG;88;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_088_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Shaymin;DRI 10;2;1;2;1,0;0,67;3;66,67;DRI;10;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Meowth ex;POR 62;3;1;3;1,0;1,0;3;100,0;POR;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Fezandipiti ex;ASC 142;3;1;3;1,0;1,0;3;100,0;ASC;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Lillie's Determination;ASC 192;12;4;3;4,0;4,0;3;100,0;ASC;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Boss's Orders;ASC 183;9;3;3;3,0;3,0;3;100,0;ASC;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Crispin;PRE 105;9;3;3;3,0;3,0;3;100,0;PRE;105;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_105_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Dawn;PFL 87;5;2;3;1,67;1,67;3;100,0;PFL;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Judge;POR 76;2;1;2;1,0;0,67;3;66,67;POR;76;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_076_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Buddy-Buddy Poffin;ASC 184;12;4;3;4,0;4,0;3;100,0;ASC;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Ultra Ball;ASC 213;12;4;3;4,0;4,0;3;100,0;ASC;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Poké Pad;POR 81;12;4;3;4,0;4,0;3;100,0;POR;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Night Stretcher;ASC 196;8;3;3;2,67;2,67;3;100,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Unfair Stamp;TWM 165;2;1;2;1,0;0,67;3;66,67;TWM;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Risky Ruins;MEG 127;5;2;3;1,67;1,67;3;100,0;MEG;127;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_127_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Fire Energy;EVO 92;9;3;3;3,0;3,0;3;100,0;EVO;92;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_092_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Psychic Energy;EVO 95;9;3;3;3,0;3,0;3;100,0;EVO;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Darkness Energy;EVO 97;9;3;3;3,0;3,0;3;100,0;EVO;97;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_097_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Special Red Card;CRI 82;2;1;2;1,0;0,67;3;66,67;CRI;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Team Rocket's Watchtower;ASC 210;2;1;2;1,0;0,67;3;66,67;ASC;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Rare Candy;MEG 125;1;1;1;1,0;0,33;3;33,33;MEG;125;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dragapult;Hero's Cape;TEF 152;1;1;1;1,0;0,33;3;33,33;TEF;152;Ultra Rare;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_152_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;3
2026-W22;Dhelmise Banette;Dhelmise;M5 37?translate=en;8;4;2;4,0;4,0;2;100,0;M5;37?translate=en;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_018_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Shuppet;M5 31?translate=en;7;4;2;3,5;3,5;2;100,0;M5;31?translate=en;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_090_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Banette;M5 32?translate=en;7;4;2;3,5;3,5;2;100,0;M5;32?translate=en;Uncommon;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_091_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Dunsparce;JTG 120;6;3;2;3,0;3,0;2;100,0;JTG;120;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_120_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Dudunsparce;TEF 129;4;2;2;2,0;2,0;2;100,0;TEF;129;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_129_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Poltchageist;M5 5?translate=en;4;2;2;2,0;2,0;2;100,0;M5;5?translate=en;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_020_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Sinistcha;M5 6?translate=en;2;1;2;1,0;1,0;2;100,0;M5;6?translate=en;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_022_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Lillie's Clefairy ex;JTG 56;4;2;2;2,0;2,0;2;100,0;JTG;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Flutter Mane;TEF 78;1;1;1;1,0;0,5;2;50,0;TEF;78;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_078_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Patrat;CRI 70;1;1;1;1,0;0,5;2;50,0;CRI;70;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_070_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Bloodmoon Ursaluna ex;TWM 141;1;1;1;1,0;0,5;2;50,0;TWM;141;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_141_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Lillie's Determination;ASC 192;8;4;2;4,0;4,0;2;100,0;ASC;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Gwynn;M5 78;6;3;2;3,0;3,0;2;100,0;M5;78;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M5/M5_78_R_JP_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Boss's Orders;ASC 183;6;3;2;3,0;3,0;2;100,0;ASC;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Kieran;PRE 113;1;1;1;1,0;0,5;2;50,0;PRE;113;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_113_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Ultra Ball;ASC 213;8;4;2;4,0;4,0;2;100,0;ASC;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Poké Pad;POR 81;8;4;2;4,0;4,0;2;100,0;POR;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Buddy-Buddy Poffin;ASC 184;4;2;2;2,0;2,0;2;100,0;ASC;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Pokégear 3.0;BLK 84;2;2;1;2,0;1,0;2;50,0;BLK;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_084_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Night Stretcher;ASC 196;4;2;2;2,0;2,0;2;100,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Air Balloon;ASC 181;1;1;1;1,0;0,5;2;50,0;ASC;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Prism Tower;CRI 80;6;3;2;3,0;3,0;2;100,0;CRI;80;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_080_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Telepathic Psychic Energy;POR 88;8;4;2;4,0;4,0;2;100,0;POR;88;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_088_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Psychic Energy;EVO 95;3;2;2;1,5;1,5;2;100,0;EVO;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Legacy Energy;TWM 167;2;1;2;1,0;1,0;2;100,0;TWM;167;Ultra Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_167_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Fan Rotom;SCR 118;1;1;1;1,0;0,5;2;50,0;SCR;118;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_118_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Moltres;PFL 14;1;1;1;1,0;0,5;2;50,0;PFL;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Chien-Pao;SSP 56;1;1;1;1,0;0,5;2;50,0;SSP;56;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Naveen;POR 79;2;2;1;2,0;1,0;2;50,0;POR;79;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_079_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Special Red Card;CRI 82;1;1;1;1,0;0,5;2;50,0;CRI;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dhelmise Banette;Prism Energy;ASC 216;2;2;1;2,0;1,0;2;50,0;ASC;216;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_216_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Slowking;Slowpoke;SCR 57;4;4;1;4,0;4,0;1;100,0;SCR;57;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_057_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Slowking;SCR 58;3;3;1;3,0;3,0;1;100,0;SCR;58;Uncommon;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_058_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Kyurem;SFA 47;2;2;1;2,0;2,0;1;100,0;SFA;47;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_047_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Mega Kangaskhan ex;MEG 104;2;2;1;2,0;2,0;1;100,0;MEG;104;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_104_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Latias ex;SSP 76;2;2;1;2,0;2,0;1;100,0;SSP;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Metagross;CRI 61;1;1;1;1,0;1,0;1;100,0;CRI;61;Uncommon;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_061_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Annihilape;SSP 100;1;1;1;1,0;1,0;1;100,0;SSP;100;Uncommon;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_100_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Lillie's Clefairy ex;JTG 56;1;1;1;1,0;1,0;1;100,0;JTG;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Fezandipiti ex;ASC 142;1;1;1;1,0;1,0;1;100,0;ASC;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Meowth ex;POR 62;1;1;1;1,0;1,0;1;100,0;POR;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Smoochum;SSP 75;1;1;1;1,0;1,0;1;100,0;SSP;75;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_075_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Lillie's Determination;ASC 192;4;4;1;4,0;4,0;1;100,0;ASC;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Ciphermaniac's Codebreaking;PRE 104;4;4;1;4,0;4,0;1;100,0;PRE;104;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_104_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Surfer;ASC 200;2;2;1;2,0;2,0;1;100,0;ASC;200;Common;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_200_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Lana's Aid;TWM 155;1;1;1;1,0;1,0;1;100,0;TWM;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Ultra Ball;ASC 213;4;4;1;4,0;4,0;1;100,0;ASC;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Poké Pad;POR 81;4;4;1;4,0;4,0;1;100,0;POR;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Wondrous Patch;PFL 94;3;3;1;3,0;3,0;1;100,0;PFL;94;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_094_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Night Stretcher;ASC 196;2;2;1;2,0;2,0;1;100,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Switch;MEG 130;1;1;1;1,0;1,0;1;100,0;MEG;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Secret Box;TWM 163;1;1;1;1,0;1,0;1;100,0;TWM;163;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_163_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Lucky Helmet;TWM 158;1;1;1;1,0;1,0;1;100,0;TWM;158;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_158_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Academy at Night;SFA 54;4;4;1;4,0;4,0;1;100,0;SFA;54;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_054_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Telepathic Psychic Energy;POR 88;4;4;1;4,0;4,0;1;100,0;POR;88;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_088_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Psychic Energy;EVO 95;3;3;1;3,0;3,0;1;100,0;EVO;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Slowking;Boomerang Energy;TWM 166;3;3;1;3,0;3,0;1;100,0;TWM;166;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_166_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Dragapult Dusknoir;Dreepy;TWM 128;8;4;2;4,0;4,0;2;100,0;TWM;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dragapult Dusknoir;Drakloak;TWM 129;8;4;2;4,0;4,0;2;100,0;TWM;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dragapult Dusknoir;Dragapult ex;TWM 130;6;3;2;3,0;3,0;2;100,0;TWM;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dragapult Dusknoir;Duskull;PRE 35;4;2;2;2,0;2,0;2;100,0;PRE;35;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_035_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dragapult Dusknoir;Dusclops;PRE 36;2;1;2;1,0;1,0;2;100,0;PRE;36;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_036_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
2026-W22;Dragapult Dusknoir;Dusknoir;PRE 37;2;1;2;1,0;1,0;2;100,0;PRE;37;Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_037_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;2
