period;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta;tournament_id;tournament_date;date;total_decks_in_archetype_in_period
2026-W22;Dragapult Blaziken;Torchic;DRI 40;10;2;5;2,0;2,0;5;100,0;DRI;40;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_040_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Combusken;DRI 41;5;1;5;1,0;1,0;5;100,0;DRI;41;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_041_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Blaziken ex;JTG 24;10;2;5;2,0;2,0;5;100,0;JTG;24;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_024_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Munkidori;TWM 95;10;2;5;2,0;2,0;5;100,0;TWM;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Meowth ex;POR 62;6;2;5;1,2;1,2;5;100,0;POR;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Budew;ASC 16;5;1;5;1,0;1,0;5;100,0;ASC;16;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Fezandipiti ex;ASC 142;5;1;5;1,0;1,0;5;100,0;ASC;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Chien-Pao;SSP 56;1;1;1;1,0;0,2;5;20,0;SSP;56;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Moltres;PFL 14;2;1;2;1,0;0,4;5;40,0;PFL;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Lillie's Determination;ASC 192;20;4;5;4,0;4,0;5;100,0;ASC;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Boss's Orders;ASC 183;16;4;5;3,2;3,2;5;100,0;ASC;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Dawn;PFL 87;10;2;5;2,0;2,0;5;100,0;PFL;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Crispin;PRE 105;8;2;5;1,6;1,6;5;100,0;PRE;105;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_105_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Buddy-Buddy Poffin;ASC 184;20;4;5;4,0;4,0;5;100,0;ASC;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Poké Pad;POR 81;18;4;5;3,6;3,6;5;100,0;POR;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Ultra Ball;ASC 213;20;4;5;4,0;4,0;5;100,0;ASC;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Night Stretcher;ASC 196;9;2;5;1,8;1,8;5;100,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Rare Candy;MEG 125;14;4;5;2,8;2,8;5;100,0;MEG;125;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Unfair Stamp;TWM 165;5;1;5;1,0;1,0;5;100,0;TWM;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Area Zero Underdepths;PRE 94;3;2;2;1,5;0,6;5;40,0;PRE;94;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_094_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Fire Energy;EVO 92;15;3;5;3,0;3,0;5;100,0;EVO;92;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_092_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Psychic Energy;EVO 95;15;3;5;3,0;3,0;5;100,0;EVO;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Darkness Energy;EVO 97;11;3;5;2,2;2,2;5;100,0;EVO;97;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_097_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Special Red Card;CRI 82;2;1;2;1,0;0,4;5;40,0;CRI;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Handheld Fan;TWM 150;1;1;1;1,0;0,2;5;20,0;TWM;150;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_150_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
