tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec;total_players
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Energy Switch;MEG 115;4;4;1;4,0;1;100,0;MEG;;115;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_115_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Night Stretcher;ASC 196;2;2;1;2,0;1;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Unfair Stamp;TWM 165;1;1;1;1,0;1;100,0;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Lillie's Pearl;JTG 151;3;3;1;3,0;1;100,0;JTG;;151;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_151_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Area Zero Underdepths;SCR 131;3;3;1;3,0;1;100,0;SCR;;131;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_131_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Grass Energy;MEE 1;5;5;1;5,0;1;100,0;MEE;;1;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_001_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Telepathic Psychic Energy;POR 88;3;3;1;3,0;1;100,0;POR;;88;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_088_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Psychic Energy;MEE 5;3;3;1;3,0;1;100,0;MEE;;5;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_005_R_EN_LG.png;;78
69e3128478b359b789d654ba;Oceania Open! | Season 2 - Week 9;Online Dated;2026-05-29;Clefairy Ogerpon;Fighting Energy;MEE 6;1;1;1;1,0;1;100,0;MEE;;6;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_006_R_EN_LG.png;;78
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Mega Kangaskhan ex;MEG 104;3;3;1;3,0;1;100,0;MEG;;104;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_104_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Lillie's Clefairy ex;JTG 56;3;3;1;3,0;1;100,0;JTG;;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Teal Mask Ogerpon ex;TWM 25;3;3;1;3,0;1;100,0;TWM;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Meowth ex;POR 62;2;2;1;2,0;1;100,0;POR;;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Latias ex;SSP 76;2;2;1;2,0;1;100,0;SSP;;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Buneary;PFL 83;1;1;1;1,0;1;100,0;PFL;;83;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_083_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Mega Lopunny ex;PFL 84;1;1;1;1,0;1;100,0;PFL;;84;Double Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_084_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Chien-Pao;SSP 56;1;1;1;1,0;1;100,0;SSP;;56;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_056_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Fezandipiti ex;ASC 142;1;1;1;1,0;1;100,0;ASC;;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Psyduck;ASC 39;1;1;1;1,0;1;100,0;ASC;;39;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Iron Leaves ex;TEF 25;1;1;1;1,0;1;100,0;TEF;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_025_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Boss's Orders;MEG 114;3;3;1;3,0;1;100,0;MEG;;114;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_114_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Crispin;SCR 133;3;3;1;3,0;1;100,0;SCR;;133;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_133_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Lillie's Determination;MEG 119;3;3;1;3,0;1;100,0;MEG;;119;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_119_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Cyrano;SSP 170;1;1;1;1,0;1;100,0;SSP;;170;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_170_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Ciphermaniac's Codebreaking;TEF 145;1;1;1;1,0;1;100,0;TEF;;145;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_145_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Brock's Scouting;JTG 146;1;1;1;1,0;1;100,0;JTG;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Ultra Ball;MEG 131;4;4;1;4,0;1;100,0;MEG;;131;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_131_R_EN_LG.png;;52
