deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Hop's Zacian;BESTEHEND;AUFSTEIGEND;48;47;1;77;79;2;0,24;0,25;0,01;48,72;48,34;-0,38
Marnie's Grimmsnarl;BESTEHEND;ABSTEIGEND;47;48;-1;79;79;0;0,25;0,25;0,0;43,7;43,7;0,0
Hydreigon;BESTEHEND;STABIL;49;49;0;75;76;1;0,24;0,24;0,0;41,67;42,37;0,7
Sharpedo Toxtricity;BESTEHEND;STABIL;50;50;0;71;73;2;0,22;0,23;0,01;40,43;40,55;0,12
Mega Abomasnow;BESTEHEND;STABIL;51;51;0;60;61;1;0,19;0,19;0,0;38,81;39,05;0,24
Zygarde Barbaracle;BESTEHEND;STABIL;52;52;0;60;60;0;0,19;0,19;0,0;41,83;41,83;0,0
Joltik Box;BESTEHEND;STABIL;53;53;0;58;58;0;0,18;0,18;0,0;49,8;49,8;0,0
Mega Dragonite;BESTEHEND;STABIL;54;54;0;55;56;1;0,17;0,17;0,0;37,16;37,1;-0,06
Archaludon Dudunsparce;BESTEHEND;STABIL;55;55;0;50;50;0;0,16;0,16;0,0;56,96;56,96;0,0
Eelektrik;BESTEHEND;STABIL;56;56;0;51;51;0;0,16;0,16;0,0;33,71;33,71;0,0
Archaludon Zoroark;BESTEHEND;STABIL;57;57;0;48;48;0;0,15;0,15;0,0;53,39;53,39;0,0
Palafin;BESTEHEND;STABIL;58;58;0;47;49;2;0,15;0,15;0,0;41,21;41,67;0,46
Dudunsparce Control;BESTEHEND;STABIL;59;59;0;46;47;1;0,14;0,15;0,01;35,19;34,76;-0,43
Mega Zygarde ex;BESTEHEND;STABIL;60;60;0;43;44;1;0,13;0,14;0,01;46,39;46,46;0,07
Okidogi;BESTEHEND;STABIL;61;61;0;41;41;0;0,13;0,13;0,0;44,89;44,89;0,0
Iono's Bellibolt;BESTEHEND;STABIL;62;62;0;39;39;0;0,12;0,12;0,0;48,91;48,91;0,0
Dragapult Froslass;BESTEHEND;STABIL;63;63;0;38;38;0;0,12;0,12;0,0;47,71;47,71;0,0
Manectric Eelektrik;BESTEHEND;STABIL;64;64;0;36;36;0;0,11;0,11;0,0;29,32;29,32;0,0
Terapagos Noctowl;BESTEHEND;STABIL;65;65;0;31;31;0;0,1;0,1;0,0;45,26;45,26;0,0
Paldean Tauros;BESTEHEND;AUFSTEIGEND;69;66;3;27;28;1;0,08;0,09;0,01;32,28;32,33;0,05
Iron Thorns Crustle;BESTEHEND;ABSTEIGEND;66;67;-1;30;30;0;0,09;0,09;0,0;36,45;36,45;0,0
Mega Diancie;BESTEHEND;ABSTEIGEND;67;68;-1;28;28;0;0,09;0,09;0,0;40,19;40,19;0,0
Blaziken;BESTEHEND;ABSTEIGEND;68;69;-1;28;28;0;0,09;0,09;0,0;34,31;34,31;0,0
Mega Feraligatr;BESTEHEND;STABIL;70;70;0;25;25;0;0,08;0,08;0,0;34,0;34,0;0,0
Toxtricity;BESTEHEND;STABIL;71;71;0;25;25;0;0,08;0,08;0,0;39,8;39,8;0,0
Azumarill;BESTEHEND;STABIL;72;72;0;23;23;0;0,07;0,07;0,0;44,0;44,0;0,0
Lillie's Clefairy;BESTEHEND;STABIL;73;73;0;21;21;0;0,07;0,07;0,0;51,02;51,02;0,0
