tournament_id;name;date;meta;format;players;organizer_id;is_online;has_decklists;swiss_rounds;phases;standings_rows;pairings_rows;depth;scraped_at
6a7cdf0fcdc0391d7fa64f32;Amyverse PTCG Live Weekly #9 💛 Cash Prize!;2026-08-19T19:15:00.000Z;TEF-PBL;STANDARD;213;2679;True;True;8;2;213;526;voll;2026-09-08T11:09:51Z
6a81a7825a30714095572195;SEASAC League Challenge #19 (SEASON 4) [50 CODES];2026-08-19T11:30:00.000Z;TEF-PBL;STANDARD;175;2623;True;True;8;2;175;478;voll;2026-09-08T11:14:08Z
6a7e005ecdc0391d7fa65824;Pudding Weekly #9 | GEEG!;2026-08-19T01:00:00.000Z;TEF-PBL;STANDARD;122;2720;True;True;7;1;122;280;voll;2026-09-08T11:14:09Z
6a7a215f2b308b6067b5051b;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-08-18T23:00:00.000Z;TEF-PBL;STANDARD;163;2603;True;True;7;2;163;385;voll;2026-09-08T11:14:11Z
6a819f1978baaa6d1c22139a;SEASAC League Challenge #18 (SEASON 4) [50 CODES];2026-08-18T11:30:00.000Z;TEF-PBL;STANDARD;178;2623;True;True;6;1;178;425;voll;2026-09-08T11:14:12Z
6a8314365a30714095572e93;🏛💫 Card Temple Weekly Battles #72;2026-08-18T02:00:00.000Z;TEF-PBL;STANDARD;118;2152;True;True;6;1;118;274;voll;2026-09-08T11:14:14Z
6a791dd8cdc0391d7fa62496;Sunny's Weekly #269 High Voltage!;2026-08-17T22:05:00.000Z;TEF-PBL;STANDARD;209;145;True;True;8;1;209;496;voll;2026-09-08T11:14:15Z
6a82476c5a3071409557297b;Pumpkaweekly;2026-08-17T18:00:00.000Z;TEF-PBL;STANDARD;259;36;True;True;8;1;259;657;voll;2026-09-08T11:14:17Z
6a7f2c0978baaa6d1c21f0cb;SEASAC League Challenge #17 (SEASON 4) [50 CODES];2026-08-17T11:30:00.000Z;TEF-PBL;STANDARD;182;2623;True;True;8;2;182;520;voll;2026-09-08T11:14:18Z
6a7e153e2b308b6067b53028;Rare Candy Club Showdown #38 (50 CODES);2026-08-17T00:00:00.000Z;TEF-PBL;STANDARD;168;2518;True;True;7;2;168;419;voll;2026-09-08T11:14:20Z
6a7219f62b308b6067b49d9b;Turn Zero Rising! #7 (100 Codes);2026-08-16T22:00:00.000Z;TEF-PBL;STANDARD;172;1371;True;True;7;4;172;502;voll;2026-09-08T11:14:22Z
6a81729a78baaa6d1c22128e;Monster Collectibles After Hours #17;2026-08-16T17:00:00.000Z;TEF-PBL;STANDARD;197;2610;True;True;8;1;197;504;voll;2026-09-08T11:14:23Z
6a2f046d2d97f3b0c2616ef3;WORLDS OF DOOM! 2026! DAY TWO!;2026-08-16T15:00:00.000Z;TEF-PBL;STANDARD;163;349;True;True;6;2;163;380;voll;2026-09-08T11:14:25Z
6a7ea49f2b308b6067b53832;SEASAC League Challenge #16 (SEASON 4) [50 CODES];2026-08-16T11:30:00.000Z;TEF-PBL;STANDARD;164;2623;True;True;8;2;164;458;voll;2026-09-08T11:14:26Z
6a7b1904cdc0391d7fa63d42;The Stache Series 1: Mic Check;2026-08-15T22:00:00.000Z;TEF-PBL;STANDARD;346;2722;True;True;8;2;346;923;voll;2026-09-08T11:14:28Z
6a284de7e334c3c9befd25e9;WORLDS OF DOOM! 2026! DAY ONE!;2026-08-15T15:00:00.000Z;TEF-PBL;STANDARD;909;349;True;True;8;1;909;2228;voll;2026-09-08T11:14:29Z
6a7d35cfcdc0391d7fa65386;SEASAC League Cup #3 (SEASON 4) [150 CODES];2026-08-15T11:30:00.000Z;TEF-PBL;STANDARD;102;2623;True;True;7;2;102;275;voll;2026-09-08T11:14:31Z
6a7e14e22b308b6067b53026;Rare Candy Club Showdown #37 (50 CODES);2026-08-15T00:00:00.000Z;TEF-PBL;STANDARD;211;2518;True;True;7;2;211;504;voll;2026-09-08T11:14:32Z
6a7a2978cdc0391d7fa63281;⚡ Surge's TCG Vault Winner Takes All Live BO3 #19;2026-08-14T18:00:00.000Z;TEF-PBL;STANDARD;133;2603;True;True;6;2;133;272;voll;2026-09-08T11:14:34Z
6a43872683fd320299bd4942;Oceania Open! | Season 3 - Week 7;2026-08-14T09:30:00.000Z;TEF-PBL;STANDARD;110;1659;True;True;7;2;110;280;voll;2026-09-08T11:14:35Z
6a7a97fa2b308b6067b50d7f;💥​Plantel Battle #31 💥​100 CODES ✔️​ TOP 8;2026-08-13T23:00:00.000Z;TEF-PBL;STANDARD;127;1727;True;True;7;2;127;330;voll;2026-09-08T11:14:37Z
6a7a21622b308b6067b5051d;⚡ Surge's TCG Vault Winner Takes All - 100 Codes;2026-08-13T19:00:00.000Z;TEF-PBL;STANDARD;169;2603;True;True;7;2;169;425;voll;2026-09-08T11:14:38Z
6a76139d2b308b6067b4cb68;🏆Moujii's Dojo🏆 (Late Registration Available!);2026-08-13T16:10:00.000Z;TEF-PBL;STANDARD;265;35;True;True;8;3;265;730;voll;2026-09-08T11:14:39Z
6a7aa8e92b308b6067b50e60;SEASAC League Challenge #15 (SEASON 4) [50 CODES];2026-08-13T11:30:00.000Z;TEF-PBL;STANDARD;150;2623;True;True;8;2;150;446;voll;2026-09-08T11:14:41Z
6a7c79d22b308b6067b52012;Vault of Games Midweek Madness | (OFF-SEASON);2026-08-13T01:00:00.000Z;TEF-PBL;STANDARD;105;2226;True;True;5;1;105;196;voll;2026-09-08T11:14:42Z
6a74bc282b308b6067b4bc97;REFINE Summer Series Session 7: Squirtle Edition;2026-08-12T23:30:00.000Z;TEF-PBL;STANDARD;128;2568;True;True;7;1;128;316;voll;2026-09-08T11:14:44Z
6a7a21672b308b6067b5051e;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-08-12T19:00:00.000Z;TEF-PBL;STANDARD;115;2603;True;True;7;2;115;289;voll;2026-09-08T11:14:45Z
6a73b30fcdc0391d7fa5dbed;Amyverse PTCG Live Weekly #8 💛 Cash Prize!;2026-08-12T17:00:00.000Z;TEF-PBL;STANDARD;162;2679;True;True;7;2;162;373;voll;2026-09-08T11:14:47Z
6a79a7f42b308b6067b4feed;SEASAC League Challenge #14 (SEASON 4) [50 CODES];2026-08-12T11:30:00.000Z;TEF-PBL;STANDARD;152;2623;True;True;8;2;152;422;voll;2026-09-08T11:14:48Z
6a755afbcdc0391d7fa5f0e9;Pudding Weekly #8 | National Play in the Sand Day!;2026-08-12T01:00:00.000Z;TEF-PBL;STANDARD;112;2720;True;True;7;1;112;258;voll;2026-09-08T11:14:49Z
6a78d6b82b308b6067b4f569;Pitch Black Tourney - Last Prize Series #12;2026-08-11T23:35:00.000Z;TEF-PBL;STANDARD;206;2227;True;True;7;1;206;467;voll;2026-09-08T11:14:51Z
6a759dfb2b308b6067b4c640;👑 CrownOfSpain 👑 #4 (15€ paypal);2026-08-11T18:00:00.000Z;TEF-PBL;STANDARD;156;2698;True;True;8;1;156;397;voll;2026-09-08T11:14:52Z
6a7a19cf2b308b6067b5047b;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-08-11T17:00:00.000Z;TEF-PBL;STANDARD;107;2603;True;True;7;2;107;299;voll;2026-09-08T11:14:54Z
6a78b14acdc0391d7fa61cc9;SEASAC League Challenge #13 (SEASON 4) [50 CODES];2026-08-11T11:30:00.000Z;TEF-PBL;STANDARD;174;2623;True;True;8;2;174;488;voll;2026-09-08T11:14:55Z
6a5a513152c24ac2da6446d5;CHALLENGE OF DOOM! THE FINAL COUNTDOWN!;2026-08-11T03:35:00.000Z;TEF-PBL;STANDARD;128;349;True;True;7;1;128;282;voll;2026-09-08T11:14:57Z
