set,number,url,product_id_in_url,lang
AOR,32,https://pokepricelab.com/fr/catalog/ancient-origins-baltoy-32,,fr
AOR,32,https://pokepricelab.com/it/catalog/ancient-origins-baltoy-32,,it
AOR,33,https://pokepricelab.com/catalog/ancient-origins-claydol-33,,
AOR,33,https://pokepricelab.com/de/catalog/ancient-origins-claydol-33,,de
AOR,33,https://pokepricelab.com/es/catalog/ancient-origins-claydol-33,,es
AOR,33,https://pokepricelab.com/fr/catalog/ancient-origins-claydol-33,,fr
AOR,33,https://pokepricelab.com/it/catalog/ancient-origins-claydol-33,,it
AOR,34,https://pokepricelab.com/catalog/ancient-origins-golett-34,,
AOR,34,https://pokepricelab.com/de/catalog/ancient-origins-golett-34,,de
AOR,34,https://pokepricelab.com/es/catalog/ancient-origins-golett-34,,es
AOR,34,https://pokepricelab.com/fr/catalog/ancient-origins-golett-34,,fr
AOR,34,https://pokepricelab.com/it/catalog/ancient-origins-golett-34,,it
AOR,35,https://pokepricelab.com/catalog/ancient-origins-golurk-35,,
AOR,35,https://pokepricelab.com/de/catalog/ancient-origins-golurk-35,,de
AOR,35,https://pokepricelab.com/es/catalog/ancient-origins-golurk-35,,es
AOR,35,https://pokepricelab.com/fr/catalog/ancient-origins-golurk-35,,fr
AOR,35,https://pokepricelab.com/it/catalog/ancient-origins-golurk-35,,it
AOR,36,https://pokepricelab.com/catalog/ancient-origins-hoopa-ex-36-eu-284217,284217,
AOR,36,https://pokepricelab.com/de/catalog/ancient-origins-hoopa-ex-36-eu-284217,284217,de
AOR,36,https://pokepricelab.com/es/catalog/ancient-origins-hoopa-ex-36-eu-284217,284217,es
AOR,36,https://pokepricelab.com/fr/catalog/ancient-origins-hoopa-ex-36-eu-284217,284217,fr
AOR,36,https://pokepricelab.com/it/catalog/ancient-origins-hoopa-ex-36-eu-284217,284217,it
AOR,37,https://pokepricelab.com/catalog/ancient-origins-machamp-ex-37,,
AOR,37,https://pokepricelab.com/de/catalog/ancient-origins-machamp-ex-37,,de
