tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec,
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Raging Bolt ex;TEF 123;42;2;21;2,"['0;21;100', '0;TEF;;123;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_123_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Latias ex;SSP 76;42;2;21;2,"['0;21;100', '0;SSP;;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Lillie's Clefairy ex;JTG 56;22;2;21;1,"['05;21;100', '0;JTG;;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Wellspring Mask Ogerpon ex;TWM 64;20;1;20;1,"['0;21;95', '24;TWM;;64;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_064_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Iron Leaves ex;TEF 25;16;1;16;1,"['0;21;76', '19;TEF;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_025_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Fezandipiti ex;ASC 142;21;1;21;1,"['0;21;100', '0;ASC;;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Passimian;SSP 111;17;1;17;1,"['0;21;80', '95;SSP;;111;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_111_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Chien-Pao;SSP 56;22;2;21;1,"['05;21;100', '0;SSP;;56;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_056_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Crispin;PRE 105;83;4;21;3,"['95;21;100', '0;PRE;;105;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_105_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Boss's Orders;ASC 183;41;2;21;1,"['95;21;100', '0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Cyrano;SSP 170;37;2;21;1,"['76;21;100', '0;SSP;;170;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_170_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Ciphermaniac's Codebreaking;PRE 104;19;1;19;1,"['0;21;90', '48;PRE;;104;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_104_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Lillie's Determination;ASC 192;19;1;19;1,"['0;21;90', '48;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Ultra Ball;ASC 213;84;4;21;4,"['0;21;100', '0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Energy Switch;MEG 115;78;4;21;3,"['71;21;100', '0;MEG;;115;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_115_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Night Stretcher;ASC 196;41;2;21;1,"['95;21;100', '0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Glass Trumpet;ASC 189;39;2;21;1,"['86;21;100', '0;ASC;;189;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_189_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Unfair Stamp;TWM 165;17;1;17;1,"['0;21;80', '95;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;No']"
