rank;deck_name;count;share;share_numeric;wins;losses;ties;win_rate;win_rate_numeric
124;Greninja Blaziken;10;0.02%;0,02;22;30;1;41.51%;41,51
125;Poison Archaludon;9;0.02%;0,02;19;21;2;45.24%;45,24
126;Clefairy Ogerpon;9;0.02%;0,02;17;21;0;44.74%;44,74
127;Farigiraf Milotic;9;0.02%;0,02;17;24;1;40.48%;40,48
128;Sinistcha Ogerpon;8;0.02%;0,02;19;24;0;44.19%;44,19
129;Alakazam;8;0.02%;0,02;7;20;1;25.00%;25,0
130;Dragapult Pidgeot;7;0.02%;0,02;9;15;1;36.00%;36,0
131;Misty's Gyarados;7;0.02%;0,02;8;17;0;32.00%;32,0
132;Mimikyu Ogerpon;7;0.02%;0,02;9;20;1;30.00%;30,0
133;Greninja Froslass;7;0.02%;0,02;6;16;0;27.27%;27,27
134;Milotic;7;0.02%;0,02;7;18;2;25.93%;25,93
135;Garchomp;7;0.02%;0,02;5;16;0;23.81%;23,81
136;Gholdengo Dragapult;6;0.01%;0,01;14;14;0;50.00%;50,0
137;Espathra;6;0.01%;0,01;13;14;0;48.15%;48,15
138;Ogerpon;6;0.01%;0,01;13;20;1;38.24%;38,24
139;Archaludon Zoroark;6;0.01%;0,01;7;12;0;36.84%;36,84
140;Dragapult Iron Thorns;6;0.01%;0,01;7;14;0;33.33%;33,33
141;Venomoth Froslass;5;0.01%;0,01;11;13;1;44.00%;44,0
142;Chien-Pao Noctowl;4;0.01%;0,01;12;11;0;52.17%;52,17
143;Espathra Froslass;4;0.01%;0,01;10;10;1;47.62%;47,62
144;Salamence;4;0.01%;0,01;7;8;0;46.67%;46,67
145;Cornerstone Mask Ogerpon;4;0.01%;0,01;7;9;1;41.18%;41,18
146;Galvantula;4;0.01%;0,01;5;8;0;38.46%;38,46
147;Gengar;4;0.01%;0,01;7;12;0;36.84%;36,84
148;Dragapult Zoroark;3;0.01%;0,01;10;7;0;58.82%;58,82
149;Scizor;3;0.01%;0,01;5;4;1;50.00%;50,0
150;Incineroar;3;0.01%;0,01;9;10;0;47.37%;47,37
151;Alolan Exeggutor ex;3;0.01%;0,01;5;9;0;35.71%;35,71
152;Luxray;3;0.01%;0,01;3;6;0;33.33%;33,33
153;Magnezone;3;0.01%;0,01;0;9;0;0.00%;0,0
154;Steelix;2;0.00%;0,0;10;5;0;66.67%;66,67
155;Steelix Dodrio;2;0.00%;0,0;3;4;1;37.50%;37,5
156;Ting-Lu;2;0.00%;0,0;2;4;0;33.33%;33,33
157;Raging Bolt Sandy Shocks;2;0.00%;0,0;1;2;0;33.33%;33,33
158;Dondozo;2;0.00%;0,0;1;4;1;16.67%;16,67
159;Banette;2;0.00%;0,0;1;4;1;16.67%;16,67
160;Arcanine;2;0.00%;0,0;0;1;0;0.00%;0,0
161;Ursaluna Iron Valiant;1;0.00%;0,0;2;2;0;50.00%;50,0
162;Dudunsparce Control;1;0.00%;0,0;2;4;3;22.22%;22,22
163;Lillie's Clefairy;1;0.00%;0,0;0;2;0;0.00%;0,0
164;Aegislash;1;0.00%;0,0;0;2;0;0.00%;0,0
165;Farigiraf Crustle;1;0.00%;0,0;0;2;0;0.00%;0,0
166;Gothitelle;1;0.00%;0,0;0;4;0;0.00%;0,0
167;Future Thorns;1;0.00%;0,0;0;2;0;0.00%;0,0
