archetype;status;trend;old_appearances;new_appearances;appearances_change;old_avg_placement;new_avg_placement;placement_change;old_best;new_best
flareon noctowl;BESTEHEND;AUFSTEIGEND;2;4;2;5,0;5,5;0,5;5;4
clefairy ogerpon;NEU;AUFSTEIGEND;0;4;4;0;7,75;7,75;0;2
ogerpon noctowl;BESTEHEND;AUFSTEIGEND;1;4;3;3,0;8,0;5,0;3;2
jellicent;BESTEHEND;AUFSTEIGEND;2;4;2;12,0;10,0;-2,0;10;2
toxtricity mega absol;BESTEHEND;AUFSTEIGEND;1;4;3;13,0;9,25;-3,75;13;4
mega meganium mega venusaur;BESTEHEND;AUFSTEIGEND;2;4;2;5,0;8,0;3,0;5;5
bellibolt kilowattrel;BESTEHEND;AUFSTEIGEND;2;4;2;8,5;9,5;1,0;5;5
decidueye vivillon;BESTEHEND;AUFSTEIGEND;1;3;2;15,0;10,33;-4,67;15;3
mega froslass munkidori;BESTEHEND;STABIL;3;3;0;7,0;7,0;0,0;5;5
hydrapple ogerpon;BESTEHEND;AUFSTEIGEND;2;3;1;9,0;8,67;-0,33;9;8
grimmsnarl dusknoir;NEU;AUFSTEIGEND;0;3;3;0;6,33;6,33;0;3
dragapult alakazam;BESTEHEND;AUFSTEIGEND;1;3;2;11,0;9,67;-1,33;11;5
barbaracle mega zygarde;BESTEHEND;AUFSTEIGEND;2;3;1;13,0;13,33;0,33;12;12
typhlosion;BESTEHEND;AUFSTEIGEND;2;3;1;10,0;8,0;-2,0;5;4
dragapult mega kangaskhan;BESTEHEND;STABIL;3;3;0;6,67;6,67;0,0;4;4
mega starmie froslass;BESTEHEND;AUFSTEIGEND;2;3;1;4,5;7,67;3,17;4;4
flareon leafeon;NEU;AUFSTEIGEND;0;2;2;0;10,0;10,0;0;5
toxtricity mega sharpedo;BESTEHEND;AUFSTEIGEND;1;2;1;3,0;4,0;1,0;3;3
noctowl terapagos;BESTEHEND;AUFSTEIGEND;1;2;1;7,0;8,0;1,0;7;7
crobat mega starmie;BESTEHEND;AUFSTEIGEND;1;2;1;3,0;5,0;2,0;3;3
mega kangaskhan latias;BESTEHEND;STABIL;2;2;0;10,0;10,0;0,0;6;6
slowking dudunsparce;BESTEHEND;STABIL;2;2;0;13,5;13,5;0,0;12;12
mega charizard-mega-x mega charizard-mega-y;BESTEHEND;AUFSTEIGEND;1;2;1;15,0;11,5;-3,5;15;8
crustle munkidori;BESTEHEND;AUFSTEIGEND;1;2;1;8,0;10,0;2,0;8;8
metang orthworm;BESTEHEND;STABIL;2;2;0;10,0;10,0;0,0;5;5
zacian-crowned latias;BESTEHEND;AUFSTEIGEND;1;2;1;6,0;11,0;5,0;6;6
aegislash dudunsparce;NEU;AUFSTEIGEND;0;2;2;0;15,5;15,5;0;15
toxtricity yveltal;BESTEHEND;AUFSTEIGEND;1;2;1;10,0;12,0;2,0;10;10
garchomp;BESTEHEND;STABIL;2;2;0;14,5;14,5;0,0;14;14
ogerpon arboliva;NEU;AUFSTEIGEND;0;2;2;0;4,0;4,0;0;1
dusknoir jellicent;BESTEHEND;AUFSTEIGEND;1;2;1;11,0;10,5;-0,5;11;10
mega venusaur meganium;BESTEHEND;STABIL;2;2;0;10,5;10,5;0,0;8;8
trevenant zacian-crowned;NEU;AUFSTEIGEND;0;2;2;0;13,0;13,0;0;11
slowking;NEU;AUFSTEIGEND;0;2;2;0;11,0;11,0;0;6
aegislash metagross;BESTEHEND;AUFSTEIGEND;1;2;1;9,0;6,5;-2,5;9;4
metagross;NEU;AUFSTEIGEND;0;2;2;0;7,0;7,0;0;2
trevenant;BESTEHEND;AUFSTEIGEND;1;2;1;4,0;4,0;0,0;4;4
dragapult froslass;NEU;AUFSTEIGEND;0;2;2;0;7,0;7,0;0;1
dusknoir mega starmie;BESTEHEND;AUFSTEIGEND;1;2;1;10,0;12,5;2,5;10;10
mega starmie munkidori;BESTEHEND;STABIL;2;2;0;7,5;7,5;0,0;7;7
blaziken dragapult;BESTEHEND;AUFSTEIGEND;1;2;1;2,0;9,0;7,0;2;2
hydrapple meganium;BESTEHEND;AUFSTEIGEND;1;2;1;12,0;9,0;-3,0;12;6
greninja noctowl;BESTEHEND;AUFSTEIGEND;1;2;1;12,0;9,5;-2,5;12;7
mega starmie drakloak;BESTEHEND;STABIL;1;1;0;3,0;3,0;0,0;3;3
mega venusaur mega meganium;NEU;AUFSTEIGEND;0;1;1;0;10,0;10,0;0;10
bronzong mega froslass;BESTEHEND;STABIL;1;1;0;5,0;5,0;0,0;5;5
mega charizard-mega-x oricorio;NEU;AUFSTEIGEND;0;1;1;0;11,0;11,0;0;11
mega kangaskhan ogerpon;NEU;AUFSTEIGEND;0;1;1;0;1,0;1,0;0;1
toxtricity fezandipiti;NEU;AUFSTEIGEND;0;1;1;0;3,0;3,0;0;3
metagross dudunsparce;BESTEHEND;STABIL;1;1;0;8,0;8,0;0,0;8;8
dragapult mega froslass;NEU;AUFSTEIGEND;0;1;1;0;4,0;4,0;0;4
slowking mega diancie;NEU;AUFSTEIGEND;0;1;1;0;13,0;13,0;0;13
flareon jolteon;BESTEHEND;STABIL;1;1;0;16,0;16,0;0,0;16;16
dragapult flareon;NEU;AUFSTEIGEND;0;1;1;0;16,0;16,0;0;16
ogerpon mega kangaskhan;NEU;AUFSTEIGEND;0;1;1;0;1,0;1,0;0;1
alakazam zoroark;NEU;AUFSTEIGEND;0;1;1;0;3,0;3,0;0;3
barbaracle solrock;NEU;AUFSTEIGEND;0;1;1;0;8,0;8,0;0;8
mega diancie munkidori;NEU;AUFSTEIGEND;0;1;1;0;12,0;12,0;0;12
zacian-crowned munkidori;NEU;AUFSTEIGEND;0;1;1;0;7,0;7,0;0;7
garchomp mega lucario;BESTEHEND;STABIL;1;1;0;16,0;16,0;0,0;16;16
metagross slowking;NEU;AUFSTEIGEND;0;1;1;0;14,0;14,0;0;14
mega froslass;NEU;AUFSTEIGEND;0;1;1;0;13,0;13,0;0;13
jellicent mega diancie;NEU;AUFSTEIGEND;0;1;1;0;1,0;1,0;0;1
crustle mega kangaskhan;NEU;AUFSTEIGEND;0;1;1;0;3,0;3,0;0;3
mega absol mega kangaskhan;BESTEHEND;STABIL;1;1;0;5,0;5,0;0,0;5;5
slowking dusknoir;BESTEHEND;STABIL;1;1;0;5,0;5,0;0,0;5;5
spidops arbok;BESTEHEND;STABIL;1;1;0;8,0;8,0;0,0;8;8
hydreigon toxtricity;NEU;AUFSTEIGEND;0;1;1;0;10,0;10,0;0;10
mega dragonite mega starmie;BESTEHEND;STABIL;1;1;0;11,0;11,0;0,0;11;11
dudunsparce clefable;NEU;AUFSTEIGEND;0;1;1;0;13,0;13,0;0;13
palafin thwackey;BESTEHEND;STABIL;1;1;0;9,0;9,0;0,0;9;9
ogerpon hydrapple;BESTEHEND;STABIL;1;1;0;10,0;10,0;0,0;10;10
diggersby munkidori;NEU;AUFSTEIGEND;0;1;1;0;1,0;1,0;0;1
hydreigon dragapult;NEU;AUFSTEIGEND;0;1;1;0;9,0;9,0;0;9
metang empoleon;BESTEHEND;STABIL;1;1;0;5,0;5,0;0,0;5;5
dragapult mega lopunny;NEU;AUFSTEIGEND;0;1;1;0;10,0;10,0;0;10
crustle cinderace;BESTEHEND;STABIL;1;1;0;3,0;3,0;0,0;3;3
meganium ogerpon;NEU;AUFSTEIGEND;0;1;1;0;9,0;9,0;0;9
ceruledge solrock;NEU;AUFSTEIGEND;0;1;1;0;11,0;11,0;0;11
mega gardevoir jellicent;BESTEHEND;STABIL;1;1;0;16,0;16,0;0,0;16;16
metang genesect;BESTEHEND;STABIL;1;1;0;9,0;9,0;0,0;9;9
typhlosion dudunsparce;BESTEHEND;STABIL;1;1;0;9,0;9,0;0,0;9;9
toxtricity;NEU;AUFSTEIGEND;0;1;1;0;13,0;13,0;0;13
mega abomasnow;BESTEHEND;STABIL;1;1;0;10,0;10,0;0,0;10;10
hydreigon noctowl;BESTEHEND;STABIL;1;1;0;6,0;6,0;0,0;6;6
noctowl hydreigon;BESTEHEND;STABIL;1;1;0;7,0;7,0;0,0;7;7
mega clefable aromatisse;NEU;AUFSTEIGEND;0;1;1;0;9,0;9,0;0;9
spidops crobat;NEU;AUFSTEIGEND;0;1;1;0;8,0;8,0;0;8
mega lucario lunatone;NEU;AUFSTEIGEND;0;1;1;0;12,0;12,0;0;12
porygon-z honchkrow;NEU;AUFSTEIGEND;0;1;1;0;4,0;4,0;0;4
honchkrow;BESTEHEND;STABIL;1;1;0;12,0;12,0;0,0;12;12
alakazam dragapult;NEU;AUFSTEIGEND;0;1;1;0;1,0;1,0;0;1
jellicent clefairy;NEU;AUFSTEIGEND;0;1;1;0;8,0;8,0;0;8
archaludon metang;BESTEHEND;STABIL;1;1;0;6,0;6,0;0,0;6;6
noctowl raging-bolt;NEU;AUFSTEIGEND;0;1;1;0;13,0;13,0;0;13
slowking gumshoos;BESTEHEND;STABIL;1;1;0;4,0;4,0;0,0;4;4
froslass solrock;BESTEHEND;STABIL;1;1;0;6,0;6,0;0,0;6;6
dragapult latias;NEU;AUFSTEIGEND;0;1;1;0;6,0;6,0;0;6
mega absol latias;NEU;AUFSTEIGEND;0;1;1;0;11,0;11,0;0;11
typhlosion mega charizard-mega-x;BESTEHEND;STABIL;1;1;0;10,0;10,0;0,0;10;10
alakazam mega diancie;NEU;AUFSTEIGEND;0;1;1;0;11,0;11,0;0;11
alakazam solrock;NEU;AUFSTEIGEND;0;1;1;0;2,0;2,0;0;2
mega audino mega absol;NEU;AUFSTEIGEND;0;1;1;0;14,0;14,0;0;14
spidops honchkrow;BESTEHEND;STABIL;1;1;0;2,0;2,0;0,0;2;2
noctowl clefairy;NEU;AUFSTEIGEND;0;1;1;0;13,0;13,0;0;13
mega kangaskhan mega absol;NEU;AUFSTEIGEND;0;1;1;0;12,0;12,0;0;12
zoroark diggersby;NEU;AUFSTEIGEND;0;1;1;0;9,0;9,0;0;9
zoroark munkidori;NEU;AUFSTEIGEND;0;1;1;0;7,0;7,0;0;7
pikachu latias;NEU;AUFSTEIGEND;0;1;1;0;14,0;14,0;0;14
mega feraligatr munkidori;BESTEHEND;STABIL;1;1;0;11,0;11,0;0,0;11;11
zoroark greninja;NEU;AUFSTEIGEND;0;1;1;0;7,0;7,0;0;7
greninja mega froslass;NEU;AUFSTEIGEND;0;1;1;0;11,0;11,0;0;11
mega diancie latias;NEU;AUFSTEIGEND;0;1;1;0;5,0;5,0;0;5
mega lucario meowth;NEU;AUFSTEIGEND;0;1;1;0;16,0;16,0;0;16
archaludon zoroark;NEU;AUFSTEIGEND;0;1;1;0;7,0;7,0;0;7
mega lucario barbaracle;NEU;AUFSTEIGEND;0;1;1;0;7,0;7,0;0;7
dragapult hydreigon;BESTEHEND;STABIL;1;1;0;5,0;5,0;0,0;5;5
zoroark dusclops;NEU;AUFSTEIGEND;0;1;1;0;11,0;11,0;0;11
